Tipo de Publicacion;Titulo;Nombre de Publicacion;Estado;Ambito;Tipo;Autores;Ejercicio
ARTICULO;Genotyping WSSV isolates from northwestern Mexican shrimp farms affected by white spot disease outbreaks in 2010-2012;Diseases of Aquatic Organisms;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Duran Avelar, M. J., Perez Enriquez, R., Zambrano Zaragoza, J. F., Montoya Rodriguez, L., Vazquez Juarez, R., Vibanco Perez, N.;2015
ARTICULO;Entire mitochondrion genome sequence of the Desert Pupfish, Cyprinodon macularius Baird & Girard, 1853;Mitochondrial DNA;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Camarena Rosales, F., Del Rio Portilla, M., Ruiz Campos, G., Garcia De Leon, F. J.;2015
ARTICULO;Cienti´ficos Mexicanos Estudian Microalgas para Producir Biocombustibles;Saber mas. Revista de Divulgacio´n de la Universidad Michoacana de San Nicola´s de Hidalgo;PUBLICADO;NACIONAL;ABRITRADOS;Lora Vilchis, M. C.;2015
ARTICULO;Polymorphism at the ITS and NTS Loci of Perkinsus marinus isolated from cultivated oyster Crassostrea corteziensis in Nayarit Mexico and Phylogenetic relationship to P. marinus along the Atlantic coast;Transboundary and emergding disease;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Escobedo, C., Arzul, I., Carrasco, N., Gutierrez Rivera, J. N., Llera Herrera, R. A., Vazquez Juarez, R.;2015
ARTICULO;Assessment of endemic microalgae as potential food for Artemia franciscana culture;Latin American Journal of Aquatic Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Pacheco Vega, J., Cadena Roa, M., Ascencio Valle, F. J., Rangel Davalos, C., Rojas Contreras, M.;2015
ARTICULO;Mineral Extract Reduces EMS, White Spot Impacts In Pacific White Shrimp;Global Aquaculture Advocate;PUBLICADO;INTERNACIONAL;ABRITRADOS;Villarreal Colmenares, H., Ascencio Valle, F. J.;2015
ARTICULO;Isolation and use of beneficial microbiota from the digestive tract of lions-paw scallop Nodipecten subnodosus and winged pearl oyster Pteria sterna in oyster aquaculture;Aquaculture Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Abasolo Pacheco, F., Saucedo Lastra, P. E., Mazon Suastegui, J. M., Tovar Ramirez, D., Araya Valencia, R., Ramirez Orozco, J. M., Campa Cordova, A. I.;2015
ARTICULO;Status of the digestive gland and feed index in juvenile green abalone Haliotis fulgens fed rehydrated macroalgae;Aquaculture Nutrition;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Serviere Zaragoza, E., Perez Estrada, C. J., Aldana Aranda, D.;2015
ARTICULO;First Report of Peronospora belbahrii on Sweet Basil in Baja California Sur, Mexico;JOURNAL OF PHYTOPATHOLOGY;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Romero Bastidas, M., Saucedo Picazo, L., Murillo Amador, B., Nieto Garibay, A., Latisnere Barragan, H., Hernandez Montiel, L. G.;2015
ARTICULO;Fatty acids profiles as selecting criteria of microalgal diets used for hatchery-rearing of the tropical scallop Euvola ziczac.;Aquaculture Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Freites, L., Lodeiros, C., Guevara, M., Jordan, N., Maeda Martinez, A. N., Himmelman, J. H.;2015
ARTICULO;Expression of the Myostatin Gene in the Adductor Muscle of the Pacific Lion-Paw Scallop Nodipecten subnodosus in Association With Growth and Environmental Conditions;Journal of Experimental Zoology Part A: Ecological Genetics and Physiology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Morelos Castro, R. M., Ramirez Arce, J. L., Garcia Gasca, S. A., Ibarra Humphries, A. M.;2015
ARTICULO;Perkinsus marinus in Crassostrea gigas and Chione fluctifraga from Kino Bay, Sonora, Mexico;Biotecnia;PUBLICADO;NACIONAL;ABRITRADOS;Enriquez Espinoza, T. L., Castro Longoria, R., Mendoza Cano, J. F., Grijalva Chon, J. M.;2015
ARTICULO;On-water remote monitoring robotic system for estimating the patch coverage of Anabaena sp. filaments in shallow water;Environmental Science: Processes & Impacts;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Romero Vivas, E., Von Borstel Luna, F. D., Perez Estrada, C. J., Torres Arino, D., Villa Medina, J. F., Gutierrez Jaguey, J.;2015
ARTICULO;Eficiencia tecnica y ambiental de la camaronicultura en Nayarit aplicando el indice de Malmquist;Estudios Sociales;PUBLICADO;NACIONAL;ABRITRADOS;Martinez Cordero, F. J., Sanchez Zazueta, E., Aguilar Medina, V., Perez Enriquez, R.;2015
ARTICULO;Baseline study of morphometric traits of wild Capsicum annuum growing near two biosphere reserves in the Peninsula of Baja California for future conservation management;BMC Plant Biology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Murillo Amador, B., Rueda Puente, E. O., Troyo Dieguez, E., Cordoba Matson, M. V., Hernandez Montiel, L. G., Nieto Garibay, A.;2015
ARTICULO;Changes in metal contents in shrimp cultured in NW Mexico (2000-2010). Environ. Monit. Ass. DOI: 10.1007/s10661-015-4494-6. (FI: 1.679);Environmental Monitoring and assessment;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Frias Espericueta, M. G., Osuna Lopez, I., Delgado Alvarez, C. G., Muy Rangel, M. D., Lopez Lopez, G., Izaguirre Fierro, G., Jaimes Bustamante, F., zazueta Padilla, H., Aguilar Juarez, M., Rubio Carrasco, W., Voltolina Lobina, D.;2015
ARTICULO;A chymotrypsin from the Digestive Tract of California Spiny Lobster, Panulirus interruptus: Purification and Biochemical Characterization;Marine Biotechnology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Bibo Verdugo, B., Rojo Arreola, L., Navarrete Del Toro, M. A., Garcia Carreno, F. L.;2015
ARTICULO;Consumer Acceptance of Eco-Labeled Fish: A Mexican Case Study;Sustainability;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Perez Ramirez, M., Almendarez Hernandez, M. A., Aviles Polanco, G., Beltran Morales, L. F.;2015
ARTICULO;Stochastic assessment of economic losses associated with hurricane hazard for whiteleg shrimp Litopenaeus vannamei cultivated in floating cages in northwestern Mexico;Aquaculture Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Hernandez Llamas, A.;2015
ARTICULO;Comparative study of enzymatic antioxidants in muscle of elasmobranch and teleost fishes;Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Velez Alavez, M., De Anda Montanez, J. A., Galvan Magana, F., Zenteno Savin, T.;2015
ARTICULO;Smartphone Irrigation Sensor;IEEE Sensors Journal;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Gutierrez Jaguey, J., Villa Medina, J. F., Lopez Guzman, A., Porta Gandara, M. A.;2015
ARTICULO;Evaluacion de la frecuencia alimenticia en cultivo larvario del langostino de rio Macrobrachium americanum (Bate, 1868), en Guasave, Sinaloa y Coyuca de Benitez, Guerrero;Foro de Estudios sobre Guerrero;PUBLICADO;NACIONAL;ABRITRADOS;Hernandez Valencia, A., Campa Cordova, A. I., Cortes Jacinto, E., Torres Zepeda, G.;2015
ARTICULO;Quality and shelf life of the gonad of lionâ€™s paw scallop transported and stored whole in refrigeration;Ciência Rural;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Ocano Higuera, V. M., Montoya Camacho, N., Marquez Rios, E., Sumaya Martinez, M. T., Sanchez Herrera, L. M., Balois Morales, R., Castillo Yanez, F. J., Castillo Yanez, F. J., Navarro Garcia, G., Maeda Martinez, A. N., Jimenez Ruiz, E. I.;2015
ARTICULO;Environmental Degradation in a Eutrophic Shallow Lake is not Simply Due to Abundance of Non-native Cyprinus carpio;Environmental Management;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Ramirez Herrejon, J. P., Mercado Silva, N., Balart Paez, E. F., Moncayo Estrada, R., Mar Silva, V., Caraveo Patino, J.;2015
ARTICULO;Development of digestive tract and enzyme activities during the early ontogeny of the tropical gar Atractosteus tropicus;Fish Physiology and Biochemistry;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Frias Quintana, C., Marquez Couturier, G., Alvarez Gonzalez, C., Tovar Ramirez, D., Nolasco Soria, H. G., Galaviz Espinosa, M., Martinez Garcia, R., Camarillo Coop, S., Martinez Yanez, R., Gisbert, E.;2015
ARTICULO;Habitat suitability and environmental factors affecting whale shark (Rhincodon typus) aggregations in the Mexican Caribbean;Environmental Biology of Fishes;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Hacohen Domene, A., Martinez Rincon, R., Galvan Magana, F., Cardenas Palomo, N., De la Parra Venegas, R., Galvan Pastoriza, B., Dove, A. D.;2015
ARTICULO;Physiological and sanitary condition of the white clam Dosinia ponderosa collected from a coastal area impacted by shrimp farm effluent;Aquaculture International;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Martinez Porchas, M., Scheuren Acevedo, S. M., Martinez Cordova, L. R., Gollas Galvan, T., Barraza Guardado, R. H., Enriquez Ocana, F., Cortes Jacinto, E., Porchas Cornejo, M. A.;2015
ARTICULO;Bacillus subtilis comes of age as a vaccine production host and delivery vehicle;Expert Review of Vaccines;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Rosales Mendoza, S., Angulo Valadez, C. E.;2015
ARTICULO;Improved digestion and initial performance of whiteleg shrimp using organic salt supplements;Aquaculture Nutrition;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Silva, B., Nolasco Soria, H. G., Magallon Barajas, F. J., Civera Cerecedo, R., Casillas Hernandez, R., Seiffert, W.;2015
ARTICULO;Salinity effects on pigments of Turnera diffusa (Willd.) in vitro;Russian Journal of Plant Physiology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Alcaraz Melendez, L., Soriano Melgar, L. A. A., Ayala Castro, H. G.;2015
ARTICULO;Applying ecological diversity indices with ecosystem approach at ecoregional level and prioritizing the decree of new protected natural areas;Interciencia;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Cruz Garcia, L. M., Arreola Lizarraga, J. A., Mendoza Salgado, R. A., Galina Tessaro, P., Beltran Morales, L. F., Ortega Rubio, A.;2015
ARTICULO;Controlled infection of Poecilia reticulata Peters (guppy) with Tetrahymena by immersion and intraperitoneal injection;Journal of Fish Diseases;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Sharon, G., Pimenta Leibowitz, M., Lora Vilchis, M. C., Isakov, N., Zilberg, D.;2015
ARTICULO;The complete mitochondrial genome of the black-tailed brush lizard Urosaurus nigricaudus (Reptilia, Squamata, Phrynosomatidae);Mitocondrial DNA;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Henrique Bernardo, P., Aguilera Miller, E., Alvarez Castaneda, S. T., Mendez de la Cruz, F. R., Murphy, R. W.;2015
ARTICULO;An analysis of Myotis peninsularis (Vespertilionidae) blending morphometric and genetic datasets;Acta Chiropterologica;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Najera-cortazar, L., Alvarez Castaneda, S. T., De Luna, E.;2015
ARTICULO;The perception by pastoralists of the factors influencing the appropriate distribution of livestock in the rangelands of north-east Iran;The Rangeland Journal;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Shahraki, M., Abedi Sarvestani, A., Seyedi, M., Rafiaani Khachak, P., Nieto Garibay, A., Van Passel, S., Azadi, H.;2015
ARTICULO;DETERMINANTES EN EL CONSUMO DE ATUN EN MEXICO APLICANDO MODELOS DE ELECCION ORDENADA;Interciencia;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Almendarez Hernandez, M. A., Aviles Polanco, G., Beltran Morales, L. F., Perez Ramirez, M.;2015
ARTICULO;Covalently Cross-Linked Arabinoxylans Films for Debaryomyces hansenii Entrapment;Molecules;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Gonzalez Estrada, R., Calderon Santoyo, M., Carvajal Millan, E., Ascencio Valle, F. J., Ragazzo Sanchez, J. A., Brown Bojorquez, F., Rascon Chu, A.;2015
ARTICULO;An overview of tuberculosis plant-derived vaccines;Expert Review of Vaccines;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Rosales Mendoza, S., Rios Huerta, R., Angulo Valadez, C. E.;2015
ARTICULO;Isotopic Niche Variation in a Higher Trophic Level Ectotherm: Highlighting the Role of Succulent Plants in Desert Food Webs;Plosone;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Delibes, M., Blazquez Moreno, M. C., Fedriani, J. M., Granados, A., Soriano, L., Delgado, A.;2015
